# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 3000, i.e. number of multipoles equal to 2999
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
  131       5.021755608150e-10       1.477923743970e-13      -5.572481778738e-12       0.000000000000e+00       4.899394468998e-12       7.920648400497e-13      -5.077019457087e-15 
  132       5.068437385814e-10       1.483483868327e-13      -5.629232455597e-12       0.000000000000e+00       4.796646760882e-12       7.791678578790e-13      -5.002778547059e-15 
  133       5.115107381810e-10       1.488394393021e-13      -5.683790200501e-12       0.000000000000e+00       4.696762629451e-12       7.665894583626e-13      -4.929572449461e-15 
  134       5.161751479456e-10       1.492650148596e-13      -5.736088099474e-12       0.000000000000e+00       4.599587823881e-12       7.543214838994e-13      -4.857632869197e-15 
  135       5.208354692653e-10       1.496246620561e-13      -5.786059819361e-12       0.000000000000e+00       4.504946999354e-12       7.423538116253e-13      -4.787198247495e-15 
  136       5.254901145845e-10       1.499179965324e-13      -5.833639643259e-12       0.000000000000e+00       4.412643230698e-12       7.306743047468e-13      -4.718513823733e-15 
  137       5.301375446025e-10       1.501447304177e-13      -5.878763136887e-12       0.000000000000e+00       4.322499800234e-12       7.192712007628e-13      -4.651771662498e-15 
  138       5.347767001394e-10       1.503047605851e-13      -5.921369150513e-12       0.000000000000e+00       4.234491471156e-12       7.081406580623e-13      -4.586923599760e-15 
  139       5.394066113674e-10       1.503980925924e-13      -5.961398092332e-12       0.000000000000e+00       4.148625939298e-12       6.972799016046e-13      -4.523848967638e-15 
  140       5.440262615059e-10       1.504248154505e-13      -5.998791355187e-12       0.000000000000e+00       4.064902561769e-12       6.866848232100e-13      -4.462412576154e-15 
  141       5.486345857006e-10       1.503851033936e-13      -6.033491356014e-12       0.000000000000e+00       3.983312138923e-12       6.763499483605e-13      -4.402464394010e-15 
  142       5.532304699032e-10       1.502792176488e-13      -6.065441575270e-12       0.000000000000e+00       3.903836696318e-12       6.662684030015e-13      -4.343839229356e-15 
  143       5.578127497505e-10       1.501075082066e-13      -6.094586596381e-12       0.000000000000e+00       3.826449266691e-12       6.564318803426e-13      -4.286356410570e-15 
  144       5.623802094443e-10       1.498704155906e-13      -6.120872145173e-12       0.000000000000e+00       3.751113671920e-12       6.468306076592e-13      -4.229819467029e-15 
  145       5.669315806303e-10       1.495684726277e-13      -6.144245129312e-12       0.000000000000e+00       3.677784304992e-12       6.374533130939e-13      -4.174015809882e-15 
  146       5.714655412778e-10       1.492023062180e-13      -6.164653677743e-12       0.000000000000e+00       3.606405911967e-12       6.282871924571e-13      -4.118716412827e-15 
  147       5.759807145593e-10       1.487726391049e-13      -6.182047180128e-12       0.000000000000e+00       3.536913373952e-12       6.193178760290e-13      -4.063675492883e-15 
  148       5.804756677293e-10       1.482802916452e-13      -6.196376326282e-12       0.000000000000e+00       3.469231489058e-12       6.105293953605e-13      -4.008630191165e-15 
  149       5.849489110043e-10       1.477261835788e-13      -6.207593145613e-12       0.000000000000e+00       3.403274754376e-12       6.019041500743e-13      -3.953300253657e-15 
  150       5.893988964422e-10       1.471113357994e-13      -6.215651046559e-12       0.000000000000e+00       3.338947147937e-12       5.934228746667e-13      -3.897387711986e-15 
  151       5.938240168211e-10       1.464368721237e-13      -6.220504856027e-12       0.000000000000e+00       3.276141910682e-12       5.850646053082e-13      -3.840576564198e-15 
  152       5.982226045195e-10       1.457040210621e-13      -6.222110858829e-12       0.000000000000e+00       3.214741328426e-12       5.768066466454e-13      -3.782532455530e-15 
  153       6.025930529610e-10       1.449141019814e-13      -6.220427076773e-12       0.000000000000e+00       3.154641071509e-12       5.686298075094e-13      -3.722983842103e-15 
  154       6.069341960087e-10       1.440684784222e-13      -6.215414052118e-12       0.000000000000e+00       3.095826217915e-12       5.605347254384e-13      -3.661974641541e-15 
  155       6.112449618584e-10       1.431686037977e-13      -6.207034212461e-12       0.000000000000e+00       3.038301912708e-12       5.525270030747e-13      -3.599634563643e-15 
  156       6.155242531496e-10       1.422160382869e-13      -6.195251677954e-12       0.000000000000e+00       2.982069353160e-12       5.446120693002e-13      -3.536099832747e-15 
  157       6.197709464689e-10       1.412124505255e-13      -6.180032301957e-12       0.000000000000e+00       2.927125695796e-12       5.367951728717e-13      -3.471513283491e-15 
  158       6.239838918540e-10       1.401596192962e-13      -6.161343711698e-12       0.000000000000e+00       2.873463963426e-12       5.290813760567e-13      -3.406024456579e-15 
